37.1835,-121.7714
39.0469,-77.4903
39.0469,-77.4903
37.1835,-121.7714
37.1835,-121.7714
42.3068,-83.7059
34.0544,-118.244
39.0469,-77.4903
42.3068,-83.7059
42.3068,-83.7059
42.95329999999999,-82.4564
42.5467,-83.0061
42.7314,-82.7936
42.430801,-83.000801
42.38599,-83.266319
42.2283,-83.2092
42.3075,-83.15
42.4631,-83.183296
42.3042,-83.1072
42.295824,-83.129431
42.312158,-83.091943
42.312078,-83.103469
42.261669,-83.157893
42.5446,-83.47332
42.54847,-83.23116
42.5474,-83.222595
42.457615,-83.48157
42.4848,-83.31004
42.417065,-83.34367
42.46934,-83.15698
42.445477,-83.13499
42.321304,-83.29375
42.287006,-83.23601
42.129665,-83.2874
42.376694,-83.16987
42.377777,-83.17728
42.379765,-83.16985
42.279324,-83.14394
42.31716,-83.094154
42.326576,-83.06399
42.363106,-83.09902
42.36993069901311,-83.04751288121999
47.983762,-102.472193
42.309542,-83.096049
42.365616948518024,-83.05890859286531
42.30752018643733,-83.14877045501864
42.59501248469665,-83.43249076190237
42.38627956833419,-82.97105991845488
42.3699093459679,-83.04332233823068
42.369827,-83.04325
42.356377,-82.98438
42.395412,-83.00891
42.384422,-82.98192
42.386242,-82.970795
42.37422,-82.92958
42.50415,-82.916374
47.731796,-102.673685
47.972367,-102.706907
47.953735,-102.131373
47.950521,-102.673528
47.727615,-102.687492
42.3845827,-82.9576732
42.53817,-82.93374
42.559116,-82.94503
42.612926,-83.007286
